matrix	kernel	threads	sched	part	ms	gflops	gbs	check
heart1	ell-omp	4	dynamic,64	row	0.4763	5.83	100.4	PASS
heart1	ell-omp	4	dynamic,256	row	0.5398	5.14	88.6	PASS
heart1	ell-omp	4	guided	row	0.4726	5.87	101.2	PASS
heart1	ell-omp	4	any	nnz	0.5004	5.55	95.6	PASS
heart1	ell-omp	8	static	row	0.2385	11.64	200.5	PASS
heart1	ell-omp	8	dynamic,16	row	0.2445	11.35	195.6	PASS
heart1	ell-omp	8	dynamic,64	row	0.2415	11.49	198.0	PASS
heart1	ell-omp	8	dynamic,256	row	0.2741	10.13	174.5	PASS
heart1	ell-omp	8	guided	row	0.2392	11.61	199.9	PASS
heart1	ell-omp	8	any	nnz	0.2700	10.28	177.1	PASS
heart1	ell-omp	16	static	row	0.1419	19.56	337.1	PASS
heart1	ell-omp	16	dynamic,16	row	0.1422	19.52	336.3	PASS
heart1	ell-omp	16	dynamic,64	row	0.1530	18.14	312.6	PASS
heart1	ell-omp	16	dynamic,256	row	0.1595	17.41	299.9	PASS
heart1	ell-omp	16	guided	row	0.1394	19.91	343.0	PASS
heart1	ell-omp	16	any	nnz	0.1913	14.51	250.0	PASS
